Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
sm finally remembered they have rappers in their ggs,0,sm終於想起來他們的gg裡還有rapper,,0,
Now THIS is AESPA.,1,現在這是 AESPA。,,0,
"I love how this era all the girls had their moment in the spotlight, they all shone so brightly.",2,我喜歡這個時代所有女孩在聚光燈下的時刻，她們都閃閃發光。,女孩|喜歡; 時代|喜歡; 時刻|閃閃發光,3,我 喜歡 這 個 時代 所有 女孩 在 聚光燈 下 的 時刻 ， 她們 都 閃閃發光
Definition of Aespa for me: Omg Giselle looks amazing. Ohhh ningning looking flawless too! Holy winter is so freaking pretty. Karina is perfection. Then repeat for the entire MV,3,Aespa 對我的定義：天哪，吉賽兒看起來棒極了。哦哦，寧寧看起來也完美無瑕！神聖的冬天真是太美了。卡琳娜是完美的。然後重複整個MV,卡琳娜|完美; 吉賽兒|棒; 寧寧|完美; 寧寧|無瑕,4,Aespa  對 我 的 定義 ： 天哪 ， 吉賽兒 看起來 棒 極了 || 哦 哦 ， 寧寧 看起來 也 完美 無瑕 || 卡琳娜 是 完美 的
This is that loud aespa that I’ve been so desperate to get back omg. SM this is how you utilize vocalists and rappers,4,這就是我非常渴望回來的大聲的 aespa，天哪。 SM 這就是你利用歌手和說唱歌手的方式,天|大聲,1,這 就 是 我 非常 渴望 回來 的 大聲 的  aespa ， 天 哪
"EVERYONE who is responsible for the production, filming, editing and directing should be given a raise because DAMN they did an amazing job!!",5,每個負責製作、拍攝、編輯和導演的人都應該得到加薪，因為他們做得太棒了！,,0,
"Can we talk about how no single title track ever sounds the same? AESPA always tries new things but still sounds so uniquely them. This is such a perfect cb, song, album, concept. I'LL MAKE YOU LEMONADE!! ✨🗣️🍋",6,我們可以談談為什麼沒有一首主打歌聽起來是一樣的嗎？ AESPA 總是嘗試新事物，但聽起來仍然如此獨特。這是如此完美的CB、歌曲、專輯、概念。我會給你做檸檬水！ ✨🗣️🍋,事物|新; 歌曲|完美,2,AESPA  總是 嘗試 新 事物 ， 但 聽起來 仍然 如此 獨特 || 這 是 如此 完美 的 CB 、 歌曲 、 專輯 、 概念
aespa owned the summer era this year,7,aespa今年擁有夏季時代,,0,
They were so happy to make lemonade,8,他們很高興能做檸檬水,檸檬水|高興,1,他們 很 高興 能 做 檸檬水
"it’s like WHIPLASH and SPICY had a child, love it",9,就像 WHIPLASH 和 SPICY 有了一個孩子一樣，喜歡它,孩子|一樣; 孩子|喜歡,2,就 像  WHIPLASH  和  SPICY  有 了 一 個 孩子 一樣 ， 喜歡 它
aespa really is THAT group,10,aespa 確實是那個團體,,0,
Lemonade deserves many wins,11,檸檬水值得贏得很多勝利,檸檬水|值得; 檸檬水|勝利,2,檸檬水 值得 贏得 很多 勝利
"i love this 1960's-ish scenery and outfits, aespa being different and unique as always",12,我喜歡這個 1960 年代的風景和服裝，aespa 一如既往地與眾不同和獨特,服裝|一如既往; 服裝|與眾不同; 風景|一如既往,3,我 喜歡 這 個  1960  年代 的 風景 和 服裝 ， aespa  一如既往 地 與眾不同 和 獨特
""" I'll take my karma straight, I'll make it lemonade "" is officially my life motto now, period",13,「我會正視我的業力，我會把它做成檸檬水」現在正式成為我的人生座右銘，句號,人生|正式; 座右銘|正式; 檸檬|正式; 水|正式,4,「 我 會 正視 我 的 業力 ， 我 會 把 它 做成 檸檬 水 」 現在 正式 成為 我 的 人生 座右銘 ， 句號
"This is what KPOP is supposed to be Wacky,experimental and not afraid to be different and weird",14,這就是 KPOP 應該是古怪的、實驗性的、不害怕與眾不同和怪異的,實驗性|古怪; 實驗性|害怕; 實驗性|與眾不同,3,這 就 是  KPOP  應該 是 古怪 的 、 實驗性 的 、 不 害怕 與眾不同 和 怪異 的
spicy's energy + whiplash's attitude + supernova's chaos = lemonade 🍋,15,辣的能量+鞭打的態度+超新星的混亂=檸檬水🍋,態度|混亂; 新星|混亂; 檸檬水|混亂; 能量|辣,4,辣 的 能量 + 鞭打 的 態度 + 超 新星 的 混亂 = 檸檬水 🍋
aespa's never ending saga releasing the most iconic bridges and endings,16,aespa 永無止境的傳奇發布了最具標誌性的橋樑和結局,傳奇|永無止境,1,aespa  永無止境 的 傳奇 發布 了 最 具 標誌性 的 橋樑 和 結局
Their retro outfits are so elegant and suit them so much now I want a retro concept,17,他們的復古服裝非常優雅，非常適合他們，現在我想要一個復古的概念,服裝|優雅; 服裝|復古; 服裝|適合; 概念|復古,4,他們 的 復古 服裝 非常 優雅 ， 非常 適合 他們 ， 現在 我 想要 一 個 復古 的 概念
"finally listening to an actual K-pop in proper Korean, u go queens!!!",18,終於用正宗的韓語聽到了真正的韓國流行音樂，你加油！ ！ ！,音樂|流行,1,終於 用 正宗 的 韓語 聽到 了 真正 的 韓國 流行 音樂 ， 你 加油
"OMG, this comeback has broken so many records, and the Spotify debut is amazing too. I hope they get lots of wins this era. Keep streaming and voting mys",19,天啊，這次回歸打破了這麼多記錄，Spotify 的首秀​​也很驚人。我希望他們在這個時代取得很多勝利。繼續直播並為我投票,時代|勝利; 時代|希望; 首秀|驚人,3,天啊 ， 這 次 回歸 打破 了 這麼多 記錄 ， Spotify   的 首秀 ​​ 也 很 驚人 || 我 希望 他們 在 這 個 時代 取得 很多 勝利
as always aespa being unique without changing themselves,20,一如既往，aespa 獨一無二，不改變自己,,0,
How does aespa manage to release hits after hits 😭😭 aespa you will always be popular,21,aespa是如何做到一波又一波的爆紅的呢😭😭 aespa你永遠都會很受歡迎,,0,
the more i listen to more addicted i get omg,22,我聽得越多就越上癮，天哪,天|上癮; 天|多,2,我 聽 得 越 多 就 越 上癮 ， 天 哪
"as expected, aespa came back to save kpop with their second full album lemonade. So harder than we all thought and no wonder cause its aespa. SONG OF THE YEAR.",23,正如預期的那樣，aespa 帶著他們的第二張完整專輯《檸檬水》回來拯救了韓國流行音樂。比我們想像的還要難，難怪會出現 aespa。年度歌曲。,專輯|完整; 檸檬水|完整; 音樂|流行,3,正 如 預期 的 那樣 ， aespa  帶 著 他們 的 第二 張 完整 專輯 《 檸檬水 》 回來 拯救 了 韓國 流行 音樂
How many international fans are here to support AESPA?,24,有多少國際粉絲來支持AESPA？,,0,
10 DAYS WITH THIS BANGER,25,與這個爆炸物一起度過 10 天,,0,
