Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
"I'm really obsessed with Winter and Giselle's rap part the most, so addictive. My favorite song this year. I love it so so much.",141,我最迷的是Winter和Giselle的饒舌部分，太讓人上癮了。今年最喜歡的歌。我非常喜歡它。,人|上癮; 人|饒舌; 歌|喜歡,3,我 最 迷 的 是 Winter 和 Giselle 的 饒舌 部分 ， 太 讓 人 上癮 了 || 今年 最 喜歡 的 歌,3,興奮,對歌曲極度著迷,gemini-3.1-flash-lite
"0:39 WINTER RAP SO FAST AND ADDICTIVEEE OMGG, MY MINJEONGGG",340,0:39 冬季饒舌如此快速且令人上癮天哪，我的 MINJEONGGG,人|上癮; 人|快速; 人|饒舌; 天|上癮; 天|快速,5,0:39   冬季 饒舌 如此 快速 且 令 人 上癮 天 哪 ， 我 的  MINJEONGGG,3,興奮,讚嘆成員饒舌表現,gemini-3.1-flash-lite
"OMG NINGNING ""MUCHAS GRACIAS MI AMOR""",354,天啊寧寧“非常感謝你我的愛”,你我|感謝; 天|感謝; 寧寧|感謝; 愛|感謝,4,天 啊 寧寧 “ 非常 感謝 你我 的 愛 ”,3,興奮,喜愛特定歌詞片段,gemini-3.1-flash-lite
"as expected, aespa came back to save kpop with their second full album lemonade. So harder than we all thought and no wonder cause its aespa. SONG OF THE YEAR.",23,正如預期的那樣，aespa 帶著他們的第二張完整專輯《檸檬水》回來拯救了韓國流行音樂。比我們想像的還要難，難怪會出現 aespa。年度歌曲。,專輯|完整; 檸檬水|完整; 音樂|流行,3,正 如 預期 的 那樣 ， aespa  帶 著 他們 的 第二 張 完整 專輯 《 檸檬水 》 回來 拯救 了 韓國 流行 音樂,2,興奮,高度讚賞回歸作品,gemini-3.1-flash-lite
"4 vocalists, 4 visuals, 4 dancers, 4 rappers, 4 all rounders, 4 aces, 4 members, 4 girls, 4 queens aespa never dissapoints!!!!",27,4 位主唱、4 位視覺師、4 位舞者、4 位饒舌歌手、4 位全能選手、4 位王牌選手、4 位成員、4 位女孩、4 位皇后 aespa 永遠不會讓人失望！,人|失望; 歌手|全能; 歌手|饒舌; 王牌|全能; 舞者|饒舌; 選手|全能,6,4  位 主唱 、 4  位 視覺師 、 4  位 舞者 、 4  位 饒舌 歌手 、 4  位 全能 選手 、 4  位 王牌 選手 、 4  位 成員 、 4  位 女孩 、 4   位 皇后  aespa  永遠 不會 讓 人 失望,2,興奮,讚美成員全能表現,gemini-3.1-flash-lite
This performance is exactly what I needed It deserves more views.,113,這樣的表現正是我所需要的，值得更多人觀看。,人|值得; 人|需要; 表現|這樣; 表現|需要,4,這樣 的 表現 正 是 我 所 需要 的 ， 值得 更多 人 觀看,2,感動,表演療癒且值得推廣,gemini-3.1-flash-lite
"WINTER DEFINETLY OWNED THIS
this song is so addictive",120,"冬天絕對有這個
這首歌太讓人上癮了",人|上癮; 歌|上癮,2,這 首 歌 太 讓 人 上癮 了,2,興奮,稱讚成員表現與歌曲,gemini-3.1-flash-lite
Winter rap is so satisfying,122,冬季饒舌太令人滿意了,人|滿意; 人|饒舌,2,冬季 饒舌 太 令 人 滿意 了,2,興奮,喜愛饒舌段落,gemini-3.1-flash-lite
"Bro the ""muchas gracias mi amor"" is so addictive",140,兄弟的「非常感謝你，我的愛」太讓人上癮了,人|上癮; 兄弟|感謝; 愛|上癮; 愛|感謝,4,兄弟 的 「 非常 感謝 你 ， 我 的 愛 」 太 讓 人 上癮 了,2,興奮,對特定歌詞上癮,gemini-3.1-flash-lite
"Heard it in the street of Ikebukuro, Japan today and searched it❤ the song is so addictive 🔥😍",174,今天在日本池袋街頭聽到並搜了一下❤這首歌太讓人上癮了🔥😍,人|上癮; 歌|上癮,2,今天 在 日本 池袋 街頭 聽到 並 搜 了 一下 ❤ 這 首 歌 太 讓 人 上癮 了 🔥 😍,2,興奮,街頭聽到後被吸引,gemini-3.1-flash-lite
