Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
人,上癮,15,'人' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
愛,感謝,10,'愛' is a noun entity and '感謝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌手,饒舌,9,'歌手' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,上癮,5,'歌' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,喜歡,5,'歌' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,流行,5,'音樂' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,失望,4,'人' is a noun entity and '失望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,耳目一新,4,'人' is a noun entity and '耳目一新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
你我,感謝,4,'你我' is a noun entity and '感謝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
專輯,完整,4,'專輯' is a noun entity and '完整' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
高音,饒舌,4,'高音' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,值得,3,'人' is a noun entity and '值得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,饒舌,3,'人' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
寧寧,感謝,3,'寧寧' is a noun entity and '感謝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,滿意,2,'人' is a noun entity and '滿意' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,需要,2,'人' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,驚訝,2,'人' is a noun entity and '驚訝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
台詞,喜歡,2,'台詞' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
吉賽兒,棒,2,'吉賽兒' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
天,上癮,2,'天' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
愛,上癮,2,'愛' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,喜歡,2,'時代' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
檸檬水,一樣,2,'檸檬水' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
檸檬水,辣,2,'檸檬水' is a noun entity and '辣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,值得,2,'歌' is a noun entity and '值得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好,2,'歌' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好聽,2,'歌' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,棒,2,'歌' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,喜歡,2,'歌曲' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,好,2,'歌曲' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,饒舌,2,'歌曲' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
節奏,瘋狂,2,'節奏' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
表現,這樣,2,'表現' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
表現,需要,2,'表現' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,好,2,'音樂' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
高峰,新,2,'高峰' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
30M,多,1,'30M' is a noun entity and '多' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
50,需要,1,'50' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
一生,饒舌,1,'一生' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
上帝,好,1,'上帝' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事實,驚訝,1,'事實' is a noun entity and '驚訝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事物,新,1,'事物' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,努力,1,'人' is a noun entity and '努力' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,如此,1,'人' is a noun entity and '如此' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
